leaves,x0,x1,x2,x3,x4,x5,x6,x7,bottom_permutation,top_permutation,permutation,orbits
19,1,2,2,1,2,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 19),(0 18)(1 17)(2 14)(3 11)(4 10)(5 7)(6 9)(8 13)(12 16)(15 19),"[[18, 15, 19, 17, 1, 4, 10, 7, 5, 8, 13, 16, 12, 9, 6, 3, 11, 14, 2, 0]]",1
13,1,0,0,2,2,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 11)(1 3)(2 13)(4 10)(5 7)(6 9)(8 12),"[[11, 13, 2, 0], [3, 6, 9, 12, 8, 5, 7, 10, 4, 1]]",2
15,1,0,1,2,2,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 14)(1 11)(2 15)(3 13)(4 10)(5 7)(6 9)(8 12),"[[14, 11, 1, 4, 10, 7, 5, 8, 12, 9, 6, 3, 13, 15, 2, 0]]",1
17,1,0,2,2,2,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 17),(0 16)(1 14)(2 17)(3 13)(4 10)(5 7)(6 9)(8 12)(11 15),"[[16, 13, 3, 6, 9, 12, 8, 5, 7, 10, 4, 1, 14, 11, 15, 17, 2, 0]]",1
15,1,1,0,2,2,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 14)(1 13)(2 11)(3 15)(4 10)(5 7)(6 9)(8 12),"[[14, 11, 2, 0], [13, 15, 3, 6, 9, 12, 8, 5, 7, 10, 4, 1]]",2
17,1,1,1,2,2,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 17),(0 16)(1 15)(2 14)(3 13)(4 10)(5 7)(6 9)(8 12)(11 17),"[[16, 13, 3, 6, 9, 12, 8, 5, 7, 10, 4, 1, 15, 17, 11, 14, 2, 0]]",1
19,1,1,2,2,2,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 19),(0 18)(1 17)(2 16)(3 13)(4 10)(5 7)(6 9)(8 12)(11 15)(14 19),"[[18, 15, 11, 14, 19, 17, 1, 4, 10, 7, 5, 8, 12, 9, 6, 3, 13, 16, 2, 0]]",1
17,1,2,0,2,2,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 17),(0 16)(1 15)(2 11)(3 14)(4 10)(5 7)(6 9)(8 12)(13 17),"[[16, 13, 17, 15, 1, 4, 10, 7, 5, 8, 12, 9, 6, 3, 14, 11, 2, 0]]",1
19,1,2,1,2,2,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 19),(0 18)(1 17)(2 14)(3 13)(4 10)(5 7)(6 9)(8 12)(11 16)(15 19),"[[18, 15, 19, 17, 1, 4, 10, 7, 5, 8, 12, 9, 6, 3, 13, 16, 11, 14, 2, 0]]",1
21,1,2,2,2,2,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 21),(0 20)(1 19)(2 16)(3 13)(4 10)(5 7)(6 9)(8 12)(11 15)(14 18)(17 21),"[[20, 17, 21, 19, 1, 4, 10, 7, 5, 8, 12, 9, 6, 3, 13, 16, 2, 0], [15, 18, 14, 11]]",2
9,1,0,0,0,0,1,0,0,(0 2)(1 4)(3 6)(5 8)(7 9),(0 4)(1 3)(2 7)(5 9)(6 8),"[[4, 1, 3, 6, 8, 5, 9, 7, 2, 0]]",1
9,1,0,1,0,0,1,0,0,(0 2)(1 4)(3 6)(5 8)(7 9),(0 7)(1 4)(2 9)(3 5)(6 8),"[[7, 9, 2, 0], [4, 1], [5, 8, 6, 3]]",3
11,1,0,2,0,0,1,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 10)(1 7)(2 11)(3 5)(4 9)(6 8),"[[10, 7, 1, 4, 9, 11, 2, 0], [5, 8, 6, 3]]",2
9,1,1,0,0,0,1,0,0,(0 2)(1 4)(3 6)(5 8)(7 9),(0 7)(1 5)(2 4)(3 9)(6 8),"[[7, 9, 3, 6, 8, 5, 1, 4, 2, 0]]",1
11,1,1,1,0,0,1,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 10)(1 9)(2 7)(3 5)(4 11)(6 8),"[[10, 7, 2, 0], [9, 11, 4, 1], [5, 8, 6, 3]]",3
13,1,1,2,0,0,1,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 11)(2 10)(3 5)(4 9)(6 8)(7 13),"[[12, 9, 4, 1, 11, 13, 7, 10, 2, 0], [5, 8, 6, 3]]",2
11,1,2,0,0,0,1,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 10)(1 9)(2 4)(3 7)(5 11)(6 8),"[[10, 7, 3, 6, 8, 5, 11, 9, 1, 4, 2, 0]]",1
13,1,2,1,0,0,1,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 11)(2 7)(3 5)(4 10)(6 8)(9 13),"[[12, 9, 13, 11, 1, 4, 10, 7, 2, 0], [5, 8, 6, 3]]",2
