leaves,x0,x1,x2,x3,bottom_permutation,top_permutation,permutation,orbits
21,1,6,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 21),(0 20)(1 19)(2 7)(3 10)(4 6)(5 8)(9 12)(11 14)(13 16)(15 18)(17 21),"[[20, 17, 21, 19, 1, 4, 6, 3, 10, 7, 2, 0], [8, 5], [12, 9], [14, 11], [16, 13], [18, 15]]",6
23,1,7,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 23),(0 22)(1 21)(2 7)(3 10)(4 6)(5 8)(9 12)(11 14)(13 16)(15 18)(17 20)(19 23),"[[22, 19, 23, 21, 1, 4, 6, 3, 10, 7, 2, 0], [8, 5], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17]]",7
25,1,8,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 25),(0 24)(1 23)(2 7)(3 10)(4 6)(5 8)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 25),"[[24, 21, 25, 23, 1, 4, 6, 3, 10, 7, 2, 0], [8, 5], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17], [22, 19]]",8
11,2,0,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 10)(1 3)(2 9)(4 6)(5 8)(7 11),"[[10, 7, 11, 9, 2, 0], [3, 6, 4, 1], [8, 5]]",3
13,2,1,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 9)(2 7)(3 11)(4 6)(5 8)(10 13),"[[12, 9, 1, 4, 6, 3, 11, 13, 10, 7, 2, 0], [8, 5]]",2
15,2,2,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 14)(1 11)(2 7)(3 10)(4 6)(5 8)(9 13)(12 15),"[[14, 11, 1, 4, 6, 3, 10, 7, 2, 0], [8, 5], [13, 15, 12, 9]]",3
17,2,3,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 17),(0 16)(1 13)(2 7)(3 10)(4 6)(5 8)(9 12)(11 15)(14 17),"[[16, 13, 1, 4, 6, 3, 10, 7, 2, 0], [8, 5], [12, 9], [15, 17, 14, 11]]",4
19,2,4,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 19),(0 18)(1 15)(2 7)(3 10)(4 6)(5 8)(9 12)(11 14)(13 17)(16 19),"[[18, 15, 1, 4, 6, 3, 10, 7, 2, 0], [8, 5], [12, 9], [14, 11], [17, 19, 16, 13]]",5
21,2,5,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 21),(0 20)(1 17)(2 7)(3 10)(4 6)(5 8)(9 12)(11 14)(13 16)(15 19)(18 21),"[[20, 17, 1, 4, 6, 3, 10, 7, 2, 0], [8, 5], [12, 9], [14, 11], [16, 13], [19, 21, 18, 15]]",6
23,2,6,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 23),(0 22)(1 19)(2 7)(3 10)(4 6)(5 8)(9 12)(11 14)(13 16)(15 18)(17 21)(20 23),"[[22, 19, 1, 4, 6, 3, 10, 7, 2, 0], [8, 5], [12, 9], [14, 11], [16, 13], [18, 15], [21, 23, 20, 17]]",7
