leaves,x0,x1,x2,x3,x4,bottom_permutation,top_permutation,permutation,orbits
13,0,3,1,1,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 11)(1 13)(2 8)(3 7)(4 6)(5 10)(9 12),"[[11, 13, 1, 4, 6, 3, 7, 10, 5, 8, 2, 0], [12, 9]]",2
9,1,0,1,1,0,(0 2)(1 4)(3 6)(5 8)(7 9),(0 8)(1 5)(2 9)(3 7)(4 6),"[[8, 5, 1, 4, 6, 3, 7, 9, 2, 0]]",1
11,1,1,1,1,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 10)(1 9)(2 8)(3 7)(4 6)(5 11),"[[10, 7, 3, 6, 4, 1, 9, 11, 5, 8, 2, 0]]",1
13,1,2,1,1,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 11)(2 8)(3 7)(4 6)(5 10)(9 13),"[[12, 9, 13, 11, 1, 4, 6, 3, 7, 10, 5, 8, 2, 0]]",1
15,1,3,1,1,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 14)(1 13)(2 8)(3 7)(4 6)(5 10)(9 12)(11 15),"[[14, 11, 15, 13, 1, 4, 6, 3, 7, 10, 5, 8, 2, 0], [12, 9]]",2
11,2,0,1,1,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 10)(1 5)(2 9)(3 7)(4 6)(8 11),"[[10, 7, 3, 6, 4, 1, 5, 8, 11, 9, 2, 0]]",1
13,2,1,1,1,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 9)(2 8)(3 7)(4 6)(5 11)(10 13),"[[12, 9, 1, 4, 6, 3, 7, 10, 13, 11, 5, 8, 2, 0]]",1
15,2,2,1,1,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 14)(1 11)(2 8)(3 7)(4 6)(5 10)(9 13)(12 15),"[[14, 11, 1, 4, 6, 3, 7, 10, 5, 8, 2, 0], [13, 15, 12, 9]]",2
17,2,3,1,1,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 17),(0 16)(1 13)(2 8)(3 7)(4 6)(5 10)(9 12)(11 15)(14 17),"[[16, 13, 1, 4, 6, 3, 7, 10, 5, 8, 2, 0], [12, 9], [15, 17, 14, 11]]",3
13,3,0,1,1,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 5)(2 9)(3 7)(4 6)(8 11)(10 13),"[[12, 9, 2, 0], [5, 8, 11, 13, 10, 7, 3, 6, 4, 1]]",2
15,3,1,1,1,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 14)(1 9)(2 8)(3 7)(4 6)(5 11)(10 13)(12 15),"[[14, 11, 5, 8, 2, 0], [9, 12, 15, 13, 10, 7, 3, 6, 4, 1]]",2
17,3,2,1,1,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 17),(0 16)(1 11)(2 8)(3 7)(4 6)(5 10)(9 13)(12 15)(14 17),"[[16, 13, 9, 12, 15, 17, 14, 11, 1, 4, 6, 3, 7, 10, 5, 8, 2, 0]]",1
19,3,3,1,1,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 19),(0 18)(1 13)(2 8)(3 7)(4 6)(5 10)(9 12)(11 15)(14 17)(16 19),"[[18, 15, 11, 14, 17, 19, 16, 13, 1, 4, 6, 3, 7, 10, 5, 8, 2, 0], [12, 9]]",2
11,0,0,2,1,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 2)(1 10)(3 7)(4 6)(5 9)(8 11),"[[2, 0], [10, 7, 3, 6, 4, 1], [9, 11, 8, 5]]",3
11,0,1,2,1,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 8)(1 11)(2 10)(3 7)(4 6)(5 9),"[[8, 5, 9, 11, 1, 4, 6, 3, 7, 10, 2, 0]]",1
13,0,2,2,1,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 11)(1 13)(2 10)(3 7)(4 6)(5 9)(8 12),"[[11, 13, 1, 4, 6, 3, 7, 10, 2, 0], [9, 12, 8, 5]]",2
15,0,3,2,1,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 13)(1 15)(2 10)(3 7)(4 6)(5 9)(8 12)(11 14),"[[13, 15, 1, 4, 6, 3, 7, 10, 2, 0], [9, 12, 8, 5], [14, 11]]",3
